epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,374.255,0.98031,0.53962,0.91361,0.91681,0.73729,0.77077,0.49935,1.05204,0.56527,1.02663,0.000742815,0.000742815,0.000742815
58,380.474,0.98056,0.54286,0.91812,0.88844,0.76718,0.78777,0.50553,1.06792,0.52342,1.01818,0.000726312,0.000726312,0.000726312
59,387.455,0.98177,0.53806,0.92664,0.92567,0.78708,0.79974,0.51034,1.05295,0.52506,1.01605,0.000709809,0.000709809,0.000709809
60,393.6,1.00352,0.54779,0.92125,0.95247,0.79447,0.80726,0.49893,1.11308,0.53536,1.03975,0.000693305,0.000693305,0.000693305
61,399.949,0.97416,0.51761,0.92231,0.96277,0.78164,0.80842,0.51012,1.09017,0.53971,1.02824,0.000676802,0.000676802,0.000676802
62,406.859,0.91557,0.50396,0.90316,0.97636,0.7815,0.81159,0.53457,1.0699,0.51329,1.02308,0.000660299,0.000660299,0.000660299
63,412.976,0.91048,0.5057,0.90755,0.91148,0.78859,0.81147,0.53146,1.06151,0.50907,1.01925,0.000643795,0.000643795,0.000643795
64,419.762,0.94594,0.50104,0.90575,0.96864,0.76718,0.83612,0.51542,1.08044,0.52195,1.03344,0.000627292,0.000627292,0.000627292
65,425.636,0.96878,0.52294,0.91562,0.96519,0.76295,0.83456,0.52328,1.01932,0.50962,1.02086,0.000610789,0.000610789,0.000610789
66,432.642,0.96344,0.51348,0.91732,0.95518,0.76718,0.81542,0.51056,1.04858,0.49484,1.01101,0.000594286,0.000594286,0.000594286
67,439.442,0.89593,0.50069,0.90329,0.82461,0.76718,0.80248,0.48132,1.07653,0.50216,1.00753,0.000577782,0.000577782,0.000577782
68,445.368,0.93214,0.51229,0.91448,0.79686,0.76507,0.78313,0.46289,1.10502,0.53513,1.04302,0.000561279,0.000561279,0.000561279
69,451.701,0.89693,0.50344,0.91473,0.80389,0.76718,0.77841,0.45754,1.08398,0.54187,1.03129,0.000544776,0.000544776,0.000544776
70,458.147,0.87921,0.4958,0.89203,0.83749,0.7992,0.81006,0.48536,1.06488,0.49559,1.00588,0.000528272,0.000528272,0.000528272
71,464.056,0.9066,0.48505,0.89464,0.87206,0.76537,0.78815,0.4909,1.04989,0.49138,1.00212,0.000511769,0.000511769,0.000511769
72,470.705,0.87085,0.49907,0.8918,0.9498,0.76208,0.83369,0.49988,1.033,0.48862,1.0047,0.000495266,0.000495266,0.000495266
73,476.565,0.87174,0.49495,0.91483,0.94786,0.76811,0.82394,0.50926,1.03655,0.50086,1.00036,0.000478762,0.000478762,0.000478762
74,482.981,0.88846,0.49064,0.89682,0.97549,0.79524,0.8247,0.52367,1.03134,0.49134,0.99005,0.000462259,0.000462259,0.000462259
75,489.517,0.89228,0.49403,0.88805,0.98032,0.79322,0.82618,0.51419,1.01665,0.49391,0.98781,0.000445756,0.000445756,0.000445756
76,495.446,0.88649,0.49132,0.89902,0.92781,0.8102,0.82584,0.52982,1.04332,0.48902,0.99341,0.000429253,0.000429253,0.000429253
77,501.716,0.88894,0.47786,0.89881,0.92334,0.81282,0.83187,0.53672,1.02928,0.49366,0.99405,0.000412749,0.000412749,0.000412749
78,508.479,0.83902,0.47956,0.9013,0.95651,0.7992,0.83113,0.53278,1.0032,0.48404,0.99187,0.000396246,0.000396246,0.000396246
79,514.515,0.83874,0.46512,0.88086,0.95238,0.7992,0.8292,0.53005,1.02477,0.48263,0.99527,0.000379743,0.000379743,0.000379743
80,521.31,0.85666,0.46527,0.88436,0.9306,0.79559,0.83065,0.54193,1.02394,0.47529,1.00278,0.000363239,0.000363239,0.000363239
81,527.635,0.86115,0.46638,0.86914,0.9306,0.80122,0.83009,0.54887,1.00427,0.4769,1.001,0.000346736,0.000346736,0.000346736
82,535.624,0.82867,0.46105,0.88071,0.93301,0.82274,0.83083,0.53496,1.02271,0.48148,1.00631,0.000330233,0.000330233,0.000330233
83,541.93,0.8295,0.45732,0.88513,0.89567,0.79708,0.80291,0.52587,1.02875,0.47688,1.00823,0.000313729,0.000313729,0.000313729
84,548.071,0.82276,0.46016,0.87168,0.91572,0.79708,0.81918,0.53299,1.03308,0.47385,1.00202,0.000297226,0.000297226,0.000297226
